Language,Version,Arch,Tech,Stream,GZIP,Type,Time taken (seconds),Memory taken (MiB)
Go,1.21.5,ARM64,Go,Y,Y,Stream - GZIP,14.335, 34.70 
Go,1.21.5,ARM64,Go,Y,N,Stream - JSON,14.721, 23.80 
Go,1.21.5,ARM64,Go,N,Y,No Stream - GZIP,20.772," 2,130.94 "
Go,1.21.5,ARM64,Go,N,N,No Stream - JSON,16.384," 2,022.40 "
Java,17.0.9+9,ARM64,Springboot - Tomcat,N,N,Springboot - Tomcat - No Stream - JSON,14.627," 1,560.58 "
Java,17.0.9+10,ARM64,Springboot - Tomcat,N,Y,Springboot - Tomcat - No Stream - GZIP,17.29," 1,718.27 "
Java,17.0.9+11,ARM64,Springboot - Tomcat,Y,N,Springboot - Tomcat - Stream - JSON,27.368," 1,602.56 "
Java,17.0.9+12,ARM64,Springboot - Tomcat,Y,Y,Springboot - Tomcat - Stream - GZIP,44," 1,620.99 "
Java,17.0.9+13,ARM64,Springboot - Tomcat - Without JPA,Y,N,Springboot - Tomcat - Without JPA - Stream - JSON,20.33, 577.00 
Java,17.0.9+14,ARM64,Springboot - Tomcat - Without JPA,Y,Y,Springboot - Tomcat - Without JPA - Stream - GZIP,30.269, 727.00 
Java,17.0.9+15,ARM64,Springboot - Tomcat - HTTP2,N,N,Springboot - Tomcat - HTTP2 - No Stream - JSON,15.686," 1,582.06 "
Java,17.0.9+16,ARM64,Springboot - Tomcat - HTTP2,Y,N,Springboot - Tomcat - HTTP2 -  Without JPA - Stream - JSON,22.82, 634.10 
Java,17.0.9+17,ARM64,Springboot - Tomcat - HTTP2,N,Y,Springboot - Tomcat - HTTP2 - No Stream - GZIP,18.773," 1,631.23 "
Java,17.0.9+18,ARM64,Springboot - Tomcat - HTTP2,Y,Y,Springboot - Tomcat - HTTP2 -  Without JPA - Stream - GZIP,30.413, 668.20 
Java,17.0.9+19,ARM64,Springboot - Undertow,N,N,Springboot - Undertow - No Stream - JSON,14.552," 1,611.78 "
Java,17.0.9+20,ARM64,Springboot - Undertow,N,Y,Springboot - Undertow - No Stream - GZIP,19.379," 1,742.85 "
Java,17.0.9+21,ARM64,Springboot - Undertow,Y,N,Springboot - Undertow - Stream - Without JPA - JSON,25.238, 615.00 
Java,17.0.9+22,ARM64,Springboot - Undertow,Y,Y,Springboot - Undertow - Stream - Without JPA - GZIP,11.927, 404.00 
Java,17.0.9+22,ARM64,Springboot - Undertow - HTTP2,Y,N,Springboot - Undertow - HTTP2 -  Without JPA - Stream - JSON,29, 600.10 
Java,17.0.9+22,ARM64,Springboot - Undertow - HTTP2,Y,Y,Springboot - Undertow - HTTP2 -  Without JPA - Stream - GZIP,11.633, 424.60 
Java,17.0.9+22,ARM64,Springboot - Undertow - HTTP2,N,N,Springboot - Undertow - HTTP2 - No Stream - JSON,14.381," 1,533.95 "
Java,17.0.9+22,ARM64,Springboot - Undertow - HTTP2,N,Y,Springboot - Undertow - HTTP2 - No Stream - GZIP,17.639," 1,619.97 "
Java,17.0.9+23,ARM64,MuServer,Y,N,MuServer - Stream - JSON,12.95, 338.20 
Java,17.0.9+24,ARM64,MuServer,Y,Y,MuServer - Stream - GZIP,12.986, 396.80 
Java,17.0.9+25,ARM64,MuServer,N,N,MuServer - No Stream - JSON,19.45," 3,686.40 "
Java,17.0.9+26,ARM64,MuServer,N,Y,MuServer - No Stream - GZIP,23.236," 3,234.82 "
Java,17.0.9+26,ARM64,NettyServer,Y,N,NettyServer - Stream - GRPC - JSON,15.621," 1,969.15 "
Java,17.0.9+22,ARM64,Springboot - Tomcat - GRPC,Y,N,Springboot - Tomcat - GRPC - JSON,14.913," 1,906.69 "
